Data_Set,Data_Type,Parameter,Value,Genotype
50,r2Pear,AIC,-273428354.98563957,Called
50,r2Pear,init,0.049216658657167331,Called
50,r2Pear,lam,-1.320044559634926e-06,Called
20,r2Pear,AIC,-349547825.14854676,Called
20,r2Pear,init,0.043509881717883579,Called
20,r2Pear,lam,-1.0840972660289475e-06,Called
10,r2Pear,AIC,-349392617.8814556,Called
10,r2Pear,init,0.041654687747741129,Called
10,r2Pear,lam,-1.016251252527085e-06,Called
5,r2Pear,AIC,-1262555095.017822,Called
5,r2Pear,init,0.02396146971484045,Called
5,r2Pear,lam,-2.1054379755711153e-07,Called
2,r2Pear,AIC,-286434327.45726788,Called
2,r2Pear,init,0.026453504488322798,Called
2,r2Pear,lam,-3.541194117535856e-07,Called
50,r2Pear,AIC,-273428355.04515475,Expected
50,r2Pear,init,0.049216656415781219,Expected
50,r2Pear,lam,-1.3200444191012513e-06,Expected
20,r2Pear,AIC,-349515250.10287279,Expected
20,r2Pear,init,0.043537393506750725,Expected
20,r2Pear,lam,-1.0852331857122526e-06,Expected
10,r2Pear,AIC,-348985196.61169386,Expected
10,r2Pear,init,0.042064939900159318,Expected
10,r2Pear,lam,-1.0322195834806773e-06,Expected
5,r2Pear,AIC,-1319651376.1299543,Expected
5,r2Pear,init,0.024200731510422221,Expected
5,r2Pear,lam,-2.2389901029730959e-07,Expected
2,r2Pear,AIC,-285609994.32277006,Expected
2,r2Pear,init,0.027802442430204018,Expected
2,r2Pear,lam,-4.2587198842073731e-07,Expected
