Data_Set,Data Type,Parameter,Value,Genotype
10,r2GLS,AIC,-354127927.2,Called
10,r2GLS,init,0.037721889,Called
10,r2GLS,lam,-1.03E-06,Called
20,r2GLS,AIC,-353700478.4,Called
20,r2GLS,init,0.03962949,Called
20,r2GLS,lam,-1.09E-06,Called
2,r2GLS,AIC,-288416264.4,Called
2,r2GLS,init,0.02336562,Called
2,r2GLS,lam,-3.45E-07,Called
50,r2GLS,AIC,-276631563.4,Called
50,r2GLS,init,0.045339311,Called
50,r2GLS,lam,-1.30E-06,Called
5,r2GLS,AIC,-1266606753,Called
5,r2GLS,init,0.020876134,Called
5,r2GLS,lam,-2.11E-07,Called
10,r2GLS,AIC,-345111506.9,Likelihood
10,r2GLS,init,0.040044233,Likelihood
10,r2GLS,lam,-1.01E-06,Likelihood
20,r2GLS,AIC,-353258502.4,Likelihood
20,r2GLS,init,0.039754791,Likelihood
20,r2GLS,lam,-1.09E-06,Likelihood
2,r2GLS,AIC,-198556414.4,Likelihood
2,r2GLS,init,0.059892825,Likelihood
2,r2GLS,lam,-2.77E-07,Likelihood
50,r2GLS,AIC,-276631561.1,Likelihood
50,r2GLS,init,0.045339311,Likelihood
50,r2GLS,lam,-1.30E-06,Likelihood
5,r2GLS,AIC,-993280223.5,Likelihood
5,r2GLS,init,0.021388679,Likelihood
5,r2GLS,lam,-2.86E-07,Likelihood
